Test Number,newTime,newPathLength,dijkstraTime,dijkstraPathLength,bfsTime,bfsPathLength,dfsTime,dfsPathLength,astarTime,astarPathLength
130,6.008148193359375e-05,4,0.0002028942108154297,5,0,0,2.5987625122070312e-05,23,9.417533874511719e-05,4
131,4.696846008300781e-05,3,0.00018596649169921875,4,0,0,2.47955322265625e-05,20,8.20159912109375e-05,3
132,5.984306335449219e-05,4,0.00031113624572753906,11,0,0,4.38690185546875e-05,33,9.322166442871094e-05,4
133,5.984306335449219e-05,4,0.0007021427154541016,5,0,0,8.392333984375e-05,50,8.916854858398438e-05,4
134,5.888938903808594e-05,4,3.910064697265625e-05,5,0,0,6.9141387939453125e-06,7,8.821487426757812e-05,4
135,0.00010704994201660156,8,0.0009188652038574219,13,0,0,0.00011181831359863281,52,0.00013899803161621094,8
136,8.511543273925781e-05,6,0.00010991096496582031,9,0,0,2.002716064453125e-05,17,0.00010704994201660156,6
137,7.200241088867188e-05,5,0.00026702880859375,8,0,0,3.3855438232421875e-05,26,0.000102996826171875,5
138,8.106231689453125e-05,6,0.00014495849609375,9,0,0,1.2874603271484375e-05,13,9.608268737792969e-05,6
139,5.1975250244140625e-05,3,0.00021409988403320312,8,0,0,5.0067901611328125e-06,4,9.489059448242188e-05,3
140,6.508827209472656e-05,4,0.0005550384521484375,13,0,0,5.602836608886719e-05,38,9.393692016601562e-05,4
141,6.198883056640625e-05,4,0.00026702880859375,9,0,0,3.409385681152344e-05,27,9.799003601074219e-05,4
142,4.982948303222656e-05,3,0.0003390312194824219,4,0,0,4.00543212890625e-05,30,8.296966552734375e-05,3
143,7.390975952148438e-05,5,0.00038909912109375,8,0,0,4.601478576660156e-05,32,0.00010204315185546875,5
144,0.00010585784912109375,8,7.581710815429688e-05,9,0,0,8.821487426757812e-06,9,0.00014019012451171875,8
145,8.797645568847656e-05,5,0.00017905235290527344,8,0,0,2.5987625122070312e-05,23,9.608268737792969e-05,5
146,0.00011014938354492188,8,0.00017404556274414062,11,0,0,1.4781951904296875e-05,15,0.00013303756713867188,8
147,8.606910705566406e-05,6,5.0067901611328125e-05,7,0,0,1.0967254638671875e-05,11,0.00011205673217773438,6
148,0.0001430511474609375,11,0.0007150173187255859,14,0,0,7.081031799316406e-05,45,0.00018715858459472656,11
149,6.198883056640625e-05,4,0.00019311904907226562,7,0,0,2.193450927734375e-05,19,9.512901306152344e-05,4
150,5.888938903808594e-05,4,0.0002460479736328125,5,0,0,4.00543212890625e-05,30,8.487701416015625e-05,4
151,8.416175842285156e-05,6,9.489059448242188e-05,9,0,0,1.5974044799804688e-05,16,0.00010919570922851562,6
152,8.416175842285156e-05,6,0.00027489662170410156,11,0,0,3.0040740966796875e-05,23,0.00010991096496582031,6
153,3.695487976074219e-05,2,5.888938903808594e-05,3,0,0,1.0967254638671875e-05,11,7.796287536621094e-05,2
154,4.9114227294921875e-05,3,0.00022792816162109375,6,0,0,2.5033950805664062e-05,22,8.487701416015625e-05,3
155,3.814697265625e-05,2,0.00010395050048828125,3,0,0,1.3113021850585938e-05,13,7.891654968261719e-05,2
156,3.695487976074219e-05,2,9.107589721679688e-05,3,0,0,1.5020370483398438e-05,15,7.891654968261719e-05,2
157,0.00010895729064941406,8,0.00019693374633789062,11,0,0,1.71661376953125e-05,16,0.0001418590545654297,8
158,0.00014710426330566406,12,0.0002999305725097656,9,0,0,6.818771362304688e-05,40,0.0001239776611328125,8
159,6.008148193359375e-05,4,0.00035500526428222656,11,0,0,5.3882598876953125e-05,36,9.608268737792969e-05,4
160,0.000102996826171875,7,0.00021505355834960938,12,0,0,4.506111145019531e-05,32,0.00022602081298828125,7
161,0.00011587142944335938,8,7.987022399902344e-05,9,0,0,1.5974044799804688e-05,13,0.00013017654418945312,8
162,0.000102996826171875,7,7.700920104980469e-05,8,0,0,1.4066696166992188e-05,13,0.00012087821960449219,7
163,7.987022399902344e-05,5,0.0001537799835205078,8,0,0,4.291534423828125e-05,22,0.00018715858459472656,5
164,7.987022399902344e-05,5,0.00029015541076660156,6,0,0,4.291534423828125e-05,31,0.00010204315185546875,5
165,0.0001251697540283203,8,0.0008139610290527344,11,0,0,5.7220458984375e-05,35,0.00014591217041015625,8
166,6.508827209472656e-05,4,0.00013303756713867188,9,0,0,2.4080276489257812e-05,18,9.298324584960938e-05,4
167,8.511543273925781e-05,6,0.0005660057067871094,13,0,0,7.200241088867188e-05,43,0.00011014938354492188,6
168,7.700920104980469e-05,5,0.00025916099548339844,6,0,0,3.0994415283203125e-05,25,9.679794311523438e-05,5
169,8.487701416015625e-05,6,0.00018215179443359375,9,0,0,2.193450927734375e-05,21,0.000102996826171875,6
170,7.700920104980469e-05,5,0.0003039836883544922,10,0,0,2.9087066650390625e-05,23,9.989738464355469e-05,5
171,3.719329833984375e-05,2,0.0003910064697265625,3,0,0,4.982948303222656e-05,35,7.891654968261719e-05,2
172,6.198883056640625e-05,4,0.00025916099548339844,11,0,0,3.4809112548828125e-05,26,9.012222290039062e-05,4
173,4.9114227294921875e-05,3,0.00031185150146484375,4,0,0,3.504753112792969e-05,27,8.606910705566406e-05,3
174,3.719329833984375e-05,2,0.0002918243408203125,3,0,0,3.1948089599609375e-05,25,7.796287536621094e-05,2
175,9.298324584960938e-05,7,0.00021910667419433594,14,0,0,8.106231689453125e-06,8,0.00010800361633300781,7
176,0.0001761913299560547,7,0.0003459453582763672,10,0,0,4.100799560546875e-05,28,0.00011801719665527344,7
177,6.818771362304688e-05,3,0.0001430511474609375,6,0,0,2.4080276489257812e-05,19,8.893013000488281e-05,3
178,6.198883056640625e-05,4,0.00031495094299316406,5,0,0,5.316734313964844e-05,25,0.00011396408081054688,4
179,7.390975952148438e-05,5,0.0005061626434326172,12,0,0,6.580352783203125e-05,41,0.00010204315185546875,5
180,0.00015807151794433594,5,0.0008919239044189453,12,0,0,9.417533874511719e-05,50,0.00011301040649414062,5
181,7.796287536621094e-05,5,0.0003669261932373047,8,0,0,4.38690185546875e-05,30,0.0002040863037109375,5
182,9.799003601074219e-05,7,0.0008699893951416016,8,0,0,8.797645568847656e-05,49,0.00010514259338378906,7
183,4.9114227294921875e-05,3,0.00021910667419433594,6,0,0,3.504753112792969e-05,28,8.487701416015625e-05,3
184,3.695487976074219e-05,2,0.0005600452423095703,3,0,0,5.817413330078125e-05,39,7.605552673339844e-05,2
185,7.295608520507812e-05,5,0.0002040863037109375,10,0,0,5.9604644775390625e-06,6,0.00010013580322265625,5
186,9.608268737792969e-05,7,0.0003769397735595703,8,0,0,3.695487976074219e-05,29,0.0001270771026611328,7
187,6.914138793945312e-05,5,0.0001468658447265625,6,0,0,4.887580871582031e-05,13,0.00011110305786132812,5
188,7.319450378417969e-05,5,0.0006058216094970703,6,0,0,5.412101745605469e-05,36,9.894371032714844e-05,5
